"","gene_id","WTn_1_WTn_2_WTn_3_0","WTn_1_WTn_2_WTn_3_1","WTn_1_WTn_2_WTn_3_2","WT6h_1_WT6h_2_WT6h_3_0","WT6h_1_WT6h_2_WT6h_3_1","WT6h_1_WT6h_2_WT6h_3_2","KOn_1_KOn_2_KOn_3_0","KOn_1_KOn_2_KOn_3_1","KOn_1_KOn_2_KOn_3_2","KO6h_1_KO6h_2_KO6h_3_0","KO6h_1_KO6h_2_KO6h_3_1","KO6h_1_KO6h_2_KO6h_3_2","gene_short_name"
"1","XLOC_000001",24.2237,24.7098,22.2801,40.6997,36.5856,36.9315,22.3993,22.786,24.6982,44.224,37.4053,33.4091,"Lypla1"
"2","XLOC_000002",26.6939,33.0599,30.81,121.032,113.795,92.0121,27.8069,30.7975,27.1026,110.372,103.065,92.9196,"Tcea1"
"3","XLOC_000003",37.616,37.8308,33.2241,80.0679,76.6768,83.5772,34.8612,35.427,29.2932,75.836,71.2938,71.5147,"Atp6v1h"
"4","XLOC_000004",0,0,0,0,0,0,0,0,0,0,0,0,"Oprk1"
"5","XLOC_000005",8.49337,8.18689,8.52718,4.62988,4.25131,3.77572,8.93782,8.42852,8.08892,4.51169,4.29324,4.48681,"Rb1cc1"
"6","XLOC_000006",0,0,0,0,0,0,0,0,0,0,0,0,"Fam150a"
"7","XLOC_000007",0.706159,1.13579,1.01618,0.97224,0.874711,0.702457,0.464632,1.04186,0.794323,0.964773,1.13138,0.991413,"St18"
"8","XLOC_000008",12.731,12.2694,12.4081,22.5461,19.2495,16.9727,13.4401,11.7909,14.4565,21.1355,18.2018,17.0849,"Pcmtd1"
"9","XLOC_000009",4.11405,4.32619,4.22026,17.6489,17.1951,15.4644,3.48635,3.48199,3.60576,16.4336,14.5897,16.8012,"Rrs1"
"10","XLOC_000010",0.440775,0.702177,0.753738,6.02473,6.20803,6.17128,0.171801,0.742721,0.483343,7.60984,6.85435,8.19579,"Adhfe1"
"11","XLOC_000011",0,0,0,0,0,0,0,0,0,0,0,0.0228001,"3110035E14Rik"
"12","XLOC_000012",4.58792,5.88695,4.16086,12.8595,12.2451,13.1555,4.4203,4.27249,4.99575,13.5176,14.5689,13.913,"1700034P13Rik"
"13","XLOC_000013",13.6909,20.7427,17.6346,149.665,144.396,132.731,15.0891,15.4088,15.7512,149.766,147.347,147.658,"Sgk3"
"14","XLOC_000014",0.970103,0.682409,0.463556,1.00794,1.16169,0.837031,0.350418,0.536047,0.486651,0.694142,1.19135,0.877138,"6030422M02Rik"
"15","XLOC_000015",1.35611,1.29051,1.1798,0.944087,0.744851,0.63158,1.51357,1.17343,1.48741,0.747901,0.631548,0.702446,"Cspp1"
"16","XLOC_000016",0.114212,0.0960084,0.217877,0.200673,0.191687,0.0844255,0.217056,0.183529,0.575019,0.218855,0.247945,0.114122,"Prex2"
"17","XLOC_000017",0,0,0,0.0143756,0,0.0192641,0,0.00925365,0,0,0,0,"A830018L16Rik"
"18","XLOC_000018",1.2921,1.84477,1.35418,3.99252,3.49805,3.72272,0.664572,0.556123,0.92174,2.83603,2.16183,3.35039,"4932411L15"
"19","XLOC_000019",0,0.0214063,0,0,0.0121781,0.0126511,0,0.00712282,0.00748905,0,0.0122286,0,"Sulf1"
"20","XLOC_000020",0,0,0,0,0,0,0.0441246,0.0409574,0,0,0,0,"Xkr9"
"21","XLOC_000021",0,0,0,0,0,0,0,0,0,0,0,0,"Kcnb2"
"22","XLOC_000022",2.13664,2.42626,2.28395,1.72277,0.920505,1.85266,1.98095,2.48136,2.48686,1.13289,1.0597,1.66548,"Terf1"
